"Timestamp","EventType","Action","AssetId","VariableId","Details","BytesAffected","Result","Source"
"2026-02-16 15:32:35","SystemStart","APLICACION_INICIADA","","","",0,"OK","UI"
"2026-02-16 15:32:40","SystemStart","RF07_INICIADO","","","Frecuencia: cada 24h, hora preferida: 2:00",0,"OK","SYSTEM"
"2026-02-16 15:32:41","Error","RF08_STARTUP_ERROR","","","Error al iniciar monitoreo preventivo: The directory name 'D:\MonitoringData' does not exist. (Parameter 'path')",0,"ERROR","SYSTEM"
"2026-02-16 15:33:06","Error","RF08_STARTUP_ERROR","","","Error al iniciar monitoreo preventivo: The directory name 'D:\MonitoringData' does not exist. (Parameter 'path')",0,"ERROR","SYSTEM"
"2026-02-16 15:33:28","Configuration","CONFIGURACION_GUARDADA","","","Umbral: 85%, Cap: 20%, Ruta: D:\tests",0,"OK","UI"
"2026-02-16 15:33:31","SystemStart","RF08_INICIADO","","","Monitoreando: D:\tests, Umbral preventivo: 3 días",0,"OK","SYSTEM"
"2026-02-16 15:33:31","Information","RF08_PROCESSOR_STARTED","","","Event processor task iniciado",0,"OK","SYSTEM"
"2026-02-16 15:47:20","SystemStart","APLICACION_INICIADA","","","",0,"OK","UI"
"2026-02-16 15:49:47","Configuration","CONFIGURACION_GUARDADA","","","Umbral: 85%, Cap: 20%, Ruta: D:\tests",0,"OK","UI"
"2026-02-16 15:49:58","SystemStart","RF07_INICIADO","","","Frecuencia: cada 24h, hora preferida: 2:00",0,"OK","SYSTEM"
"2026-02-16 15:49:59","SystemStart","RF08_INICIADO","","","Monitoreando: D:\tests, Umbral preventivo: 3 días",0,"OK","SYSTEM"
"2026-02-16 15:49:59","Information","RF08_PROCESSOR_STARTED","","","Event processor task iniciado",0,"OK","SYSTEM"
