"Timestamp","EventType","Action","AssetId","VariableId","Details","BytesAffected","Result","Source"
"2026-02-13 08:05:42","Error","UNHANDLED_UI_EXCEPTION","","","The directory name 'D:\MonitoringData' does not exist. (Parameter 'path')",0,"ERROR","SYSTEM"
"2026-02-13 08:05:44","Error","UNHANDLED_UI_EXCEPTION","","","The directory name 'D:\MonitoringData' does not exist. (Parameter 'path')",0,"ERROR","SYSTEM"
"2026-02-13 08:05:45","SystemStop","RF07_DETENIDO","","","",0,"OK","SYSTEM"
"2026-02-13 08:05:47","Error","UNHANDLED_UI_EXCEPTION","","","The directory name 'D:\MonitoringData' does not exist. (Parameter 'path')",0,"ERROR","SYSTEM"
"2026-02-13 08:05:48","SystemStart","RF07_INICIADO","","","Frecuencia: cada 24h, hora preferida: 2:00",0,"OK","SYSTEM"
"2026-02-13 08:33:58","SystemStart","APLICACION_INICIADA","","","",0,"OK","UI"
"2026-02-13 08:34:07","SystemStart","RF07_INICIADO","","","Frecuencia: cada 24h, hora preferida: 2:00",0,"OK","SYSTEM"
"2026-02-13 08:34:09","Error","UNHANDLED_UI_EXCEPTION","","","The directory name 'D:\MonitoringData' does not exist. (Parameter 'path')",0,"ERROR","SYSTEM"
"2026-02-13 08:34:10","Error","UNHANDLED_UI_EXCEPTION","","","The directory name 'D:\MonitoringData' does not exist. (Parameter 'path')",0,"ERROR","SYSTEM"
"2026-02-13 08:34:14","Error","UNHANDLED_UI_EXCEPTION","","","The directory name 'D:\MonitoringData' does not exist. (Parameter 'path')",0,"ERROR","SYSTEM"
"2026-02-13 09:53:26","SystemStart","APLICACION_INICIADA","","","",0,"OK","UI"
"2026-02-13 09:53:31","Error","UNHANDLED_UI_EXCEPTION","","","The directory name 'D:\MonitoringData' does not exist. (Parameter 'path')",0,"ERROR","SYSTEM"
"2026-02-13 09:53:33","Error","UNHANDLED_UI_EXCEPTION","","","The directory name 'D:\MonitoringData' does not exist. (Parameter 'path')",0,"ERROR","SYSTEM"
"2026-02-13 10:03:50","SystemStart","APLICACION_INICIADA","","","",0,"OK","UI"
"2026-02-13 10:04:11","SystemStart","RF07_INICIADO","","","Frecuencia: cada 24h, hora preferida: 2:00",0,"OK","SYSTEM"
"2026-02-13 10:04:13","Error","UNHANDLED_UI_EXCEPTION","","","The directory name 'D:\MonitoringData' does not exist. (Parameter 'path')",0,"ERROR","SYSTEM"
"2026-02-13 10:04:15","Error","UNHANDLED_UI_EXCEPTION","","","The directory name 'D:\MonitoringData' does not exist. (Parameter 'path')",0,"ERROR","SYSTEM"
"2026-02-13 10:04:17","SystemStop","RF07_DETENIDO","","","",0,"OK","SYSTEM"
"2026-02-13 10:04:18","Error","UNHANDLED_UI_EXCEPTION","","","The directory name 'D:\MonitoringData' does not exist. (Parameter 'path')",0,"ERROR","SYSTEM"
"2026-02-13 10:06:09","Error","UNHANDLED_UI_EXCEPTION","","","The directory name 'D:\MonitoringData' does not exist. (Parameter 'path')",0,"ERROR","SYSTEM"
"2026-02-13 10:06:10","Error","UNHANDLED_UI_EXCEPTION","","","The directory name 'D:\MonitoringData' does not exist. (Parameter 'path')",0,"ERROR","SYSTEM"
"2026-02-13 10:06:11","SystemStart","RF07_INICIADO","","","Frecuencia: cada 24h, hora preferida: 2:00",0,"OK","SYSTEM"
