"Timestamp","EventType","Action","AssetId","VariableId","Details","BytesAffected","Result","Source"
"2026-02-18 16:28:57","SystemStart","APLICACION_INICIADA","","","",0,"OK","UI"
"2026-02-18 16:30:34","Configuration","CONFIGURACION_GUARDADA","","","Umbral: 85%, Cap: 20%, Ruta: D:\Tests",0,"OK","UI"
"2026-02-18 16:36:51","SystemStart","RF07_INICIADO","","","Frecuencia: cada 24h, hora preferida: 2:00",0,"OK","SYSTEM"
"2026-02-18 16:36:52","SystemStart","RF08_INICIADO","","","Monitoreando: D:\Tests, Umbral preventivo: 3 días",0,"OK","SYSTEM"
"2026-02-18 16:36:52","Information","RF08_PROCESSOR_STARTED","","","Event processor task iniciado",0,"OK","SYSTEM"
